num_particles, interia, cognition, social, gen, epoch_stop, solution_found, fitness
10, 0.5, 1.0, 1.0, 0, 999, [3.0328981  9.20237021], 4.13419516231921
10, 0.5, 1.0, 1.0, 1, 809, [0.99760181 0.99520322], 5.755106299412091e-06
10, 0.5, 1.0, 1.0, 2, 681, [1.00375023 1.00752615], 1.4077737750022779e-05
10, 0.5, 1.0, 1.0, 3, 489, [0.9973571  0.99470738], 7.003974216045379e-06
10, 0.5, 1.0, 1.0, 4, 999, [-4.75497156 22.61207191], 33.12023466949789
10, 0.5, 1.0, 1.0, 5, 999, [1.03486751 1.07106916], 0.0012171451026862712
10, 0.5, 1.0, 1.0, 6, 958, [1.00199699 1.00400419], 3.991843133253932e-06
10, 0.5, 1.0, 1.0, 7, 999, [ 3.3964001  11.53902702], 5.743953810970748
10, 0.5, 1.0, 1.0, 8, 999, [2.14859511 4.61753524], 1.3193861359421866
10, 0.5, 1.0, 1.0, 9, 800, [0.99650293 0.99300947], 1.2236917070016295e-05
10, 0.5, 1.0, 1.0, 10, 999, [2.81644948 7.93425097], 3.2998359018582972
10, 0.5, 1.0, 1.0, 11, 374, [0.99996769 0.99993533], 1.0439592385955392e-09
10, 0.5, 1.0, 1.0, 12, 208, [1.00000387 1.00000777], 1.5077215462053254e-11
10, 0.5, 1.0, 1.0, 13, 999, [3.06475586 9.39155666], 4.263354099757739
10, 0.5, 1.0, 1.0, 14, 999, [-3.81364988 14.54430416], 23.1712395123354
10, 0.5, 1.0, 1.0, 15, 110, [1.00074085 1.00148494], 5.495793639810464e-07
10, 0.5, 1.0, 1.0, 16, 490, [0.99729093 0.99457411], 7.361841159365508e-06
10, 0.5, 1.0, 1.0, 17, 999, [-2.75448299  7.58479023], 14.096711964387074
10, 0.5, 1.0, 1.0, 18, 999, [2.21920834 4.92449131], 1.4864845405614788
10, 0.5, 1.0, 1.0, 19, 792, [0.99602762 0.99206974], 1.5779968485049847e-05
20, 0.5, 1.0, 1.0, 0, 999, [1.04794105 1.09834229], 0.0023009636809695976
20, 0.5, 1.0, 1.0, 1, 999, [1.19677584 1.43366511], 0.03891469318962212
20, 0.5, 1.0, 1.0, 2, 940, [1.00016519 1.00032937], 2.7394621951469873e-08
20, 0.5, 1.0, 1.0, 3, 183, [0.99990707 0.99981284], 8.804747674292872e-09
20, 0.5, 1.0, 1.0, 4, 847, [1.00000927 1.00001848], 8.612068037219432e-11
20, 0.5, 1.0, 1.0, 5, 699, [1.00005523 1.00011004], 3.0668338652673547e-09
20, 0.5, 1.0, 1.0, 6, 999, [1.00039438 1.00079131], 1.5610623254780705e-07
20, 0.5, 1.0, 1.0, 7, 300, [0.99995728 0.99991433], 1.8304009226240991e-09
20, 0.5, 1.0, 1.0, 8, 889, [1.00001491 1.00003017], 2.3431307854716237e-10
20, 0.5, 1.0, 1.0, 9, 526, [0.99995761 0.99991532], 1.7974125789676555e-09
20, 0.5, 1.0, 1.0, 10, 498, [1.00008193 1.00016366], 6.716447471013537e-09
20, 0.5, 1.0, 1.0, 11, 794, [1.0000762  1.00015268], 5.814131171707749e-09
20, 0.5, 1.0, 1.0, 12, 276, [0.99999992 0.99999983], 7.889337762239528e-15
20, 0.5, 1.0, 1.0, 13, 342, [0.99984346 0.99968467], 2.5024237834968894e-08
20, 0.5, 1.0, 1.0, 14, 206, [1.         0.99999999], 4.288220990642716e-17
20, 0.5, 1.0, 1.0, 15, 999, [3.13441108 9.82760418], 4.556653983357698
20, 0.5, 1.0, 1.0, 16, 702, [1.00004934 1.00009871], 2.434838316508282e-09
20, 0.5, 1.0, 1.0, 17, 210, [0.99999863 0.99999726], 1.8764057551380405e-12
20, 0.5, 1.0, 1.0, 18, 314, [0.99999993 0.99999986], 4.925959230383851e-15
20, 0.5, 1.0, 1.0, 19, 490, [1.00013906 1.00027988], 1.9640108118260186e-08
30, 0.5, 1.0, 1.0, 0, 226, [1.00000016 1.00000033], 2.6844057108487008e-14
30, 0.5, 1.0, 1.0, 1, 246, [0.99997133 0.9999428 ], 8.240881799922952e-10
30, 0.5, 1.0, 1.0, 2, 307, [0.99999826 0.99999658], 3.4709728943924814e-12
